"id","question","answer","date_added","next_appearance"
"1","Elephant","__","10","2025-05-22 13:21:51.947320"
"2","Chair","__","10","2025-05-22 13:21:51.947320"
"3","Ice","_","10","2025-05-22 13:21:51.947320"
"4","Cloud","__","10","2025-05-22 13:21:51.947320"
"5","Sunshine","__","10","2025-05-22 13:21:51.947320"
"6","Bus","__","10","2025-05-22 13:21:51.947320"
"7","hurl","throw | fling","10","2025-05-22 13:21:51.947320"
"8","fling","throw","10","2025-05-22 13:21:51.947320"
"9","ick","used to express disgust","10","2025-05-22 13:21:51.947320"
"10","aversion","a strong dislike","10","2025-05-22 13:21:51.947320"
"11","affluent","Having a lot of money or owning a lot of things:
Ex: We live in an affluent neighborhood","10","2025-05-22 13:21:51.947320"
"12","adversity","difficult or problems or misfortune
Ex: showing courage in the face of adversity","10","2025-05-22 13:21:51.947320"
"13","salient","most noticeable or important

Ex: The article presented the salient facts of the dispute clearly and concisely","10","2025-05-22 13:21:51.947320"
"14","credible","able to be believed / convinced / acceptable
Ex: a credible source","10","2025-05-22 13:21:51.947320"
"15"," self-righteous","believing that you are always right and other people are wrong, so that you are better than other people.","10","2025-05-22 13:21:51.947320"
"16","trivialize","to make something less important that it really is","10","2025-05-22 13:21:51.947320"
"17","moonlighting","the act of working at an extra job, especially without telling your main employer","10","2025-05-22 13:21:51.947320"
"18","trivial","of little importance / not worth considering","10","2025-05-22 13:21:51.947320"
"19","humility","the quality of not thinking that you are better than the other people","10","2025-05-22 13:21:51.947320"
"20","contentment","a feeling of happy satisfaction","10","2025-05-22 13:21:51.947320"
"21","entitlement","the official right to have something / to do something
Ex: pension/holiday entitlements","10","2025-05-22 13:21:51.947320"
